ref_number,sender_account,receiver_account,sender_name,receiver_name,transfer_amount,currency,value_date,transfer_type,status,channel,description
TRF-50001,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,5000.00,AED,2026-04-10T09:15:00,LOCAL,SUCCESS,MOBILE,Family support
TRF-50002,AE070331234567890123456,AE860020001234567890123,Ahmed Al Mansouri,Emirates NBD Business,12500.00,AED,2026-04-10T10:30:00,LOCAL,SUCCESS,WEB,Invoice payment
TRF-50003,AE330260001012345678901,AE070331234567890123456,Fatima Al Zaabi,Ahmed Al Mansouri,800.00,AED,2026-04-10T14:22:00,LOCAL,SUCCESS,MOBILE,Rent share
TRF-50004,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,25000.00,AED,2026-04-10T15:45:00,LOCAL,SUCCESS,CORPORATE,Q2 services
TRF-50005,AE070331234567890123456,GB29NWBK60161331926819,Ahmed Al Mansouri,Sarah Johnson,3500.00,GBP,2026-04-11T08:30:00,INTERNATIONAL,PENDING,WEB,Tuition fees
TRF-50006,AE190400001234567890987,AE070331234567890123456,XYZ Logistics FZ,Ahmed Al Mansouri,1200.00,AED,2026-04-11T11:05:00,LOCAL,SUCCESS,CORPORATE,Refund
TRF-50007,AE330260001012345678901,AE860020001234567890123,Fatima Al Zaabi,DEWA,450.00,AED,2026-04-11T12:40:00,LOCAL,SUCCESS,MOBILE,Electricity bill
TRF-50008,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,2000.00,AED,2026-04-11T16:20:00,LOCAL,SUCCESS,MOBILE,Birthday gift
TRF-50009,AE860020001234567890123,US64SVBKUS6S3300958879,ABC Trading LLC,Global Imports Inc,45000.00,USD,2026-04-11T17:00:00,INTERNATIONAL,FAILED,CORPORATE,Purchase order PO-2345
TRF-50010,AE070331234567890123456,AE190400001234567890987,Ahmed Al Mansouri,XYZ Logistics FZ,750.00,AED,2026-04-12T09:50:00,LOCAL,SUCCESS,WEB,Delivery charges
TRF-50011,AE330260001012345678901,AE070331234567890123456,Fatima Al Zaabi,Ahmed Al Mansouri,600.00,AED,2026-04-12T11:15:00,LOCAL,SUCCESS,MOBILE,Shared expenses
TRF-50012,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,18000.00,AED,2026-04-12T14:30:00,LOCAL,SUCCESS,CORPORATE,Monthly retainer
TRF-50013,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,1500.00,AED,2026-04-12T16:45:00,LOCAL,SUCCESS,MOBILE,Groceries
TRF-50014,AE190400001234567890987,AE860020001234567890123,XYZ Logistics FZ,ABC Trading LLC,32000.00,AED,2026-04-13T10:20:00,LOCAL,SUCCESS,CORPORATE,Subcontractor fee
TRF-50015,AE330260001012345678901,AE070331234567890123456,Fatima Al Zaabi,Ahmed Al Mansouri,950.00,AED,2026-04-13T13:05:00,LOCAL,SUCCESS,MOBILE,Dining out
TRF-50016,AE070331234567890123456,SA0380000000608010167519,Ahmed Al Mansouri,Khalid Al Saud,15000.00,SAR,2026-04-13T15:40:00,INTERNATIONAL,SUCCESS,WEB,Property down payment
TRF-50017,AE860020001234567890123,AE190400001234567890987,ABC Trading LLC,XYZ Logistics FZ,8500.00,AED,2026-04-13T17:25:00,LOCAL,SUCCESS,CORPORATE,Equipment rental
TRF-50018,AE070331234567890123456,AE330260001012345678901,Ahmed Al Mansouri,Fatima Al Zaabi,300.00,AED,2026-04-14T08:10:00,LOCAL,SUCCESS,MOBILE,Coffee money
TRF-50019,AE190400001234567890987,AE070331234567890123456,XYZ Logistics FZ,Ahmed Al Mansouri,2500.00,AED,2026-04-14T11:55:00,LOCAL,SUCCESS,CORPORATE,Consulting payment
TRF-50020,AE860020001234567890123,EG380019000500000000263180002,ABC Trading LLC,Cairo Trading Co,22000.00,EGP,2026-04-14T14:30:00,INTERNATIONAL,SUCCESS,CORPORATE,Import payment
TRF-50021,AE330260001012345678901,AE860020001234567890123,Fatima Al Zaabi,Etisalat,280.00,AED,2026-04-14T16:00:00,LOCAL,SUCCESS,MOBILE,Mobile bill
TRF-50022,AE070331234567890123456,AE190400001234567890987,Ahmed Al Mansouri,XYZ Logistics FZ,4500.00,AED,2026-04-14T18:15:00,LOCAL,SUCCESS,WEB,Annual subscription
